id;autor;titulo;jornal;volume;paginas;ano;evento;endereco;note;venue;editor;tipo;instituicao;mes
1281; Connell, M. E., & Utgoff, P. E. ; Learning to control a dynamic physical system. ;NULL;NULL;  (pp 456-460) ;1987; Morgan Kaufmann. ; Seattle, WA: ;NULL; In Proceedings of the Sixth National Conference on Artificial Intelligence;NULL;NULL;NULL;NULL
1282; Connell, M. E., & Utgoff, P. E. ; Learning to control a dynamic physical system. ;NULL;NULL; (pp 456-460) ;1987; Morgan Kaufmann. ; Seattle, WA: ;NULL; In Proceedings of the Sixth National Conference on Artificial Intelligence ;NULL;NULL;NULL;NULL
1283; Connell, M. E., & Utgoff, P. E. ; Learning to control a dynamic physical system. ;NULL;NULL; (pp 456-460) ;1987; Morgan Kaufmann. ; Seattle, WA: ;NULL; In Proceedings of the Sixth National Conference on Artificial Intelligence ;NULL;NULL;NULL;NULL
1284; Connell, M. E., & Utgoff, P. E. ; Learning to control a dynamic physical system. ;NULL;NULL; (pp 456-460) ;1987; Morgan Kaufmann. ; Seattle, WA: ;NULL; In Proceedings of the Sixth National Conference on Artificial Intelligence ;NULL;NULL;NULL;NULL
1285; M. Connell and P. Utgoff. ; Learning to control a dynamic physical system, ;NULL; Vol 2 ; 456-460 ; 1987. ; American Association for Arti-ficial Intelligence, ; Seattle, ;NULL; in Proceedings AAAI-87 ;NULL;NULL;NULL;NULL
1286; M. Connell and P. Utgoff. ; Learning to control a dynamic physical system, ;NULL; Vol 2 ; 456-460 ; 1987. ; American Association for Artificial Intelligence, ; Seattle, ;NULL; in Proceedings AAAI-87 ;NULL;NULL;NULL;NULL
1287; M. Connell and P. Utgoff. ; Learning to control a dynamic physical system, ;NULL; Vol 2 ; 456-460 ; 1987. ; American Association for Artificial Intelligence, ; Seattle, ;NULL; in Proceedings AAAI-87 ;NULL;NULL;NULL;NULL
1288; Craven, M. W. & Shavlik, J. W. ; Learning symbolic rules using artificial neural networks, ;NULL;NULL; pp 73-80 ;1993; Morgan Kaufmann, ;NULL;NULL;" ""Proceedings of the Tenth International Conference on Machine Learning"" "; in P. Utgoff, ed., ;NULL;NULL;NULL
1289; Craven, M. W. & Shavlik, J. W. ; Learning symbolic rules using artificial neural networks, ;NULL;NULL; pp 73-80 ;1993; Morgan Kaufmann, ;NULL;NULL;" ""Proceedings of the Tenth International Conference on Machine Learning"" "; in P. Utgoff, ed., ;NULL;NULL;NULL
1290; Mark W. Craven and Jude W. Shavlik. ; Learning symbolic rules using artificial neural networks. ;NULL;NULL;NULL; 1993. ; Morgan Kaufmann.; San Mateo, CA, ; to appear ; Proceedings of the Tenth International Conference on Machine Learning ; In Paul E. Utgoff, editor, ;NULL;NULL;NULL
1291; Mark W. Craven and Jude W. Shavlik. ; Learning symbolic rules using artificial neural networks. ;NULL;NULL;NULL; 1993. ; Morgan Kaufmann.; San Mateo, CA, ; to appear. ; Proceedings of the Tenth International Conference on Machine Learning ; In Paul E. Utgoff, editor, ;NULL;NULL;NULL
1292; Mark W. Craven and Jude W. Shavlik. ; Learning symbolic rules using artificial neural networks. ;NULL;NULL;NULL; 1993. ; Morgan Kaufmann.; San Mateo, CA, ; to appear. ; Proceedings of the Tenth International Conference on Machine Learning ; In Paul E. Utgoff, editor, ;NULL;NULL;NULL
1293; M. W. Craven and J. W. Shavlik. ; Learning symbolic rules using artificial neural networks. ;NULL;NULL;NULL; 1993. ; Morgan Kaufmann. ;NULL;NULL; Proceedings of the Tenth International Conference on Machine Learning; In Paul E. Utgoff, editor, ;NULL;NULL;NULL
1294; M. W. Craven and J. W. Shavlik. ; Learning symbolic rules using artificial neural networks. ;NULL;NULL;NULL;1993. ; Morgan Kaufmann. ;NULL;NULL; Proceedings of the Tenth International Conference on Machine Learning ; In Paul E. Utgoff, editor, ;NULL;NULL;NULL
1295; M. W. Craven and J. W. Shavlik. ; Learning symbolic rules using artificial neural networks. ;NULL;NULL;NULL; 1993. ; Morgan Kaufmann. ;NULL;NULL; Proceedings of the Tenth International Conference on Machine Learning; In Paul E. Utgoff, editor, ;NULL;NULL;NULL
1296; Danyluk, A.P. and F.J. Provost; Small Disjuncts in Action: Learning to Diagnose Errors in the Local Loop of the Telephone Network. ;NULL;NULL; pp 81-88 ;1993;NULL;NULL;NULL; Proceedings of the 10th International Conference on Machine Learning ;P. Utgoff (editor), ;NULL;NULL;NULL
1297; Danyluk, A. & Provost, F. ; Small disjuncts in action: Learning to diagnose errors in the telephone network local loop, ;NULL;NULL; pp 81-88 ;1993; Morgan Kaufmann Publishers, Inc., ;NULL;NULL; Machine Learning: Proceedings of the Tenth International Conference ; in P. Utgoff, ed., ;NULL;NULL;NULL
1298; B. A. Draper, Carla E. Brodley, and Paul E. Utgoff. ; Goal-directed classification using linear machine decision trees. ; IEEE Trans. on Pattern Analysis and Machine Intelligence, ; 16(9);:888 ; 1994. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1299; B. A. Draper, Carla E. Brodley, and Paul E. Utgoff. ; Goal-directed classification using linear machine decision trees. ; IEEE Trans. on Pattern Analysis and Machine Intelligence, ; 16(9);:888 ; 1994. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1300; Draper, B. A., Brodley, C. E. & Utgoff, P. E. ; `Goal-directed classification using linear machine decision trees', ; IEEE Transactions on Pattern Analysis and Machine Intelligence; 16(9) ; 888-893 ;1994;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1301; Draper, B. A., Brodley, C. E. & Utgoff, P. E. ; `Goal-directed classification using linear machine decision trees', ; IEEE Transactions on Pattern Analysis and Machine Intelligence ;16(9) ; 888-893 ;1994;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1302; Draper, B. A., Brodley, C. E., & Utgoff, P. E. ; Goal-directed classification using linear machine decision trees. ; IEEE Transactions on Pattern Analysis and Machine Intelligence, ;16; 888-893 ;1994;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1303; B. A. Draper, Carla E. Brodley, and Paul E. Utgoff. ; Goal-directed classification using linear machine decision trees. ; IEEE Transactions on Pattern Analysis and Machine Intelligence, ; 16(9):;888; 1994. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1304; B. A. Draper, Carla E. Brodley, and Paul E. Utgoff. ; Goal-directed classification using linear machine decision trees. ; IEEE Transactions on Pattern Analysis and Machine Intelligence, ; 16(9);:888 ; 1994. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1305; B. A. Draper, Carla E. Brodley, and Paul E. Utgoff. ; Goal-directed classification using linear machine decision trees. ; IEEE Transactions on Pattern Analysis and Machine Intelligence, ; 16(9);:888 ; 1994. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1306; B. A. Draper, Carla E. Brodley, and Paul E. Utgoff. ; Goal-directed classification using linear machine decision trees. ; IEEE Transactions on Pattern Analysis and Machine Intelligence, ; 16(9);:888 ; 1994. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1307; B. A. Draper, Carla E. Brodley, and Paul E. Utgoff. ; Goal-directed classification using linear machine decision trees. ; IEEE Transactions on Pattern Analysis and Machine Intelligence, ; 16(9);:888 ; 1994. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1308; B. A. Draper, Carla E. Brodley, and Paul E. Utgoff. ; Goal-directed classification using linear machine decision trees. ; IEEE Transactions on Pattern Analysis and Machine Intelligence, ; 16(9);:888 ; 1994. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1309; B. A. Draper, Carla E. Brodley, and Paul E. Utgoff. ; Goal-directed classification using linear machine decision trees. ; IEEE Transactions on Pattern Analysis and Machine Intelligence, ; 16(9);:888 ; 1994. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1310; B. A. Draper, Carla E. Brodley, and Paul E. Utgoff. ; Goal-directed classification using linear machine decision trees. ; IEEE Transactions on Pattern Analysis and Machine Intelligence, ; 16(9);:888 ; 1994. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1311; B. A. Draper, Carla E. Brodley, and Paul E. Utgoff. ; Goal-directed classification using linear machine decision trees. ; IEEE Transactions on Pattern Analysis and Machine Intelligence, ; 16(9);:888 ; 1994. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1312; Bruce A. Draper, Carla E. Brodley, and Paul E. Utgoff. ; Goal-Directed Classification using Linear Machine Decision Trees. ; IEEE Transactions on Pattern Analysis and Machine Intelligence, ; 16(9) ; 888-893 ; 1994. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL; September 
1313; B. Draper, C. E. Brodley, and P. Utgoff. ; Goal-directed Classification Using Linear Machine Decision Trees. ; IEEE Trans. on Pattern Analysis and Machine Intelligence, ; 16(9):;NULL; 1994. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1314; B. Draper, C. E. Brodley, and P. Utgoff. ; Goal-directed Classification Using Linear Machine Decision Trees. ; IEEE Trans. on Pattern Analysis and Machine Intelligence, ; 16(9):;NULL; September 1994. 9 ;NULL;NULL;(to appear),;NULL;NULL;NULL;NULL;NULL
1315; Fawcett, T. E. and Utgoff, P. E. ; A Hybrid Method for Feature Generation. ;NULL;NULL; 137-141 ; 1991. ; Morgan Kaufmann, ; San Mateo. ;NULL; In Proceedings of the Eighth International Workshop on Machine Learning ; Ed. L. A. Birnbaum and G. C. Collins. ;NULL;NULL;NULL
1316; Fawcett, T. E., & Utgoff, P. E. ; A Hybrid Method for Feature Generation. ;NULL;NULL; (pp 137 -141);1991; Morgan Kaufmann. ; San Mateo, CA: ;NULL; Proceedings of the Eighth International Workshop on Machine Learning ;NULL;NULL;NULL;NULL
1317; Fawcett, T. E., & Utgoff, P. E. ; A hybrid method for feature generation. ;NULL;NULL;  (pp 137-141) ;1991; Morgan Kaufmann. ; Evanston, IL: ;NULL; Machine Learning:  Proceedings of the Eighth International Workshop;NULL;NULL;NULL;NULL
1318; Fawcett, T. E., & Utgoff, P. E. ; A hybrid method for feature generation. Machine Learning: ;NULL;NULL; (pp 137-141) ;1991; Morgan Kaufmann. ; Evanston, IL: ;NULL; Proceedings of the Eighth International Workshop ;NULL;NULL;NULL;NULL
1319; Fawcett, T.E. and Utgoff, P.E., ;" ""A Hybrid Method for Feature Generation,"" ";NULL;NULL; pp 137-141 ; 1991. ;NULL; Evanston, Ill., ;NULL; Proceedings of the Eight International Workshop on Machine Learning ;NULL;NULL;NULL;NULL
1320; Fawcett, T. and Utgoff, P. ; A hybrid method for feature generation. ;NULL;NULL; (pp 137-141) ;1991;NULL; Evanston, Ill. ;NULL; Proceedings of the Eighth International Workshop on Machine Learning ;NULL;NULL;NULL;NULL
1321; Fawcett, T. and Utgoff, P. ; A hybrid method for feature generation. ;NULL;NULL; (pp 137-141) ;1991;NULL; Evanston, Ill. ;NULL; Proceedings of the Eighth International Workshop on Machine Learning ;NULL;NULL;NULL;NULL
1322; Fawcett, T. E. & Utgoff, P. E. ;" ""Automatic Feature Generation for Problem Solving Systems"", ";NULL;NULL;p144-153 ; 1992. ;NULL;NULL;NULL; in Proceeding of the 9th International Workshop on Machine Learning ;NULL;NULL;NULL;NULL
1323; Fawcett, T. and Utgoff, P. ; Automatic feature Generation for Problem Solving Systems. ;NULL;NULL; pages 144-153 ;1992. ; Morgan Kaufmann. ; UK, ;NULL; In Proceedings of the Ninth International Conference on Machine Learning ;NULL;NULL; University of Aberdeen, ;NULL
1324; Fawcett, T. and Utgoff, P. ; Automatic feature Generation for Problem Solving Systems. ;NULL;NULL; pages 144-153 ;1992. ; Morgan Kaufmann. ; UK, ;NULL; In Proceedings of the Ninth International Conference on Machine Learning ;NULL;NULL; University of Aberdeen, ;NULL
1325; Fawcett, T. and Utgoff, P. ; Automatic feature Generation for Problem Solving Systems. ;NULL;NULL; pages 144-153 ;1992. ; Morgan Kaufmann. ; UK, ;NULL; In Proceedings of the Ninth International Conference on Machine Learning ;NULL;NULL; University of Aberdeen, ;NULL
1326; Tom E. Fawcett, Paul E. Utgoff. ; Automatic feature generation for problem solving systems. ;NULL;NULL;NULL; 1992. ;NULL; Amherst, MA. ;NULL;NULL;NULL; COINS typenical report 92-9, ; University of Massachusetts,; Jan 
1327; T. E. Fawcett and P. E. Utgoff, ; Automatic feature generation for prob lem solving systems, ;NULL;NULL;NULL;1992;NULL;NULL; Discusses work forthcoming in a PhD dissertation about a system to derive features relevant to solving a problem from automatic analysis of the structure of the problem. ;NULL;NULL; Technical Report 92-9, COINS, ; University of Mas-sachusetts at Amherst, MA, Department of Computer and Information Science, ;NULL
1328; Tom Fawcett and Paul Utgoff, ; Automatic feature generation for Problem Solving Systems, ;NULL;NULL;NULL; 1992. ;NULL;NULL;NULL;NULL;NULL; COINS Tech-Report 92-9, ;NULL;NULL
1329; T.E. Fawcett and P.E. Utgoff, ; Automatic feature generation for problem solving systems. ;NULL;NULL; 144-153 ;NULL; Morgan Kaufmann, ; San Mateo, CA: ;NULL; Proceedings of the Ninth International Workshop on Machine Learning ;NULL;NULL;NULL;NULL
1330; Tom E. Fawcett and Paul E. Utgoff. ; Automatic feature generation for problem solving systems. ;NULL;NULL;NULL; 1992. ;NULL; Scotland, ;NULL; Proceedings of the Ninth Interntational Workshop on Machine Learning Aberdeen ; In Derek Sleeman and Peter Edwards, editors, ;NULL;NULL;NULL
1331; Usama M. Fayyad, Nicholas Weir, and D. Djorgovski. SKICAT: ; A machine learning system for automated cataloging of large scale sky surveys. ;NULL;NULL; pages 112-119 ;NULL;NULL;NULL;NULL; In ML-93  ; Editor: Paul E. Utgoff.;NULL;NULL;NULL
1332; Usama M. Fayyad, Nicholas Weir, and D. Djorgovski. SKICAT: ; A machine learning system for automated cataloging of large scale sky surveys. ;NULL;NULL; pages 112-119 ;NULL;NULL;NULL;NULL; In ML-93  ; Editor: Paul E. Utgoff. ;NULL;NULL;NULL
1333; Usama M. Fayyad, Nicholas Weir, and D. Djorgovski. SKICAT: ; A machine learning system for automated cataloging of large scale sky surveys. ;NULL;NULL; pages 112-119 ;NULL;NULL;NULL;NULL; In ML-93  ; Editor: Paul E. Utgoff.;NULL;NULL;NULL
1334; Usama M. Fayyad, Nicholas Weir, and D. Djorgovski. SKICAT: ; A machine learning system for automated cataloging of large scale sky surveys. ;NULL;NULL; pages 112-119 ;NULL;NULL;NULL;NULL; In ML-93  ; Editor: Paul E. Utgoff. ;NULL;NULL;NULL
1335; Usama M. Fayyad, Nicholas Weir, and D. Djorgovski. SKICAT: ; A machine learning system for automated cataloging of large scale sky surveys. ;NULL;NULL; pages 112-119 ;NULL;NULL;NULL;NULL; In ML-93  ; Editor: Paul E. Utgoff. ;NULL;NULL;NULL
1336; Usama M. Fayyad, Nicholas Weir, and D. Djorgovski. SKICAT: ; A machine learning system for automated cataloging of large scale sky surveys. ;NULL;NULL; pages 112-119 ;NULL;NULL;NULL;NULL; In ML-93  ; Editor: Paul E. Utgoff.;NULL;NULL;NULL
1337; Usama M. Fayyad, Nicholas Weir, and D. Djorgovski. SKICAT: ; A machine learning system for automated cataloging of large scale sky surveys. ;NULL;NULL; pages 112-119 ;NULL;NULL;NULL;NULL; In ML-93  ; Editor: Paul E. Utgoff.  ;NULL;NULL;NULL
1338; Usama M. Fayyad, Nicholas Weir, and D. Djorgovski. SKICAT: ; A machine learning system for automated cataloging of large scale sky surveys. ;NULL;NULL; pages 112-119 ;NULL;NULL;NULL;NULL; In ML-93  ; Editor: Paul E. Utgoff. ;NULL;NULL;NULL
1339; Usama M. Fayyad, Nicholas Weir, and D. Djorgovski. SKICAT: ; A machine learning system for automated cataloging of large scale sky surveys. ;NULL;NULL; pages 112-119 ;NULL;NULL;NULL;NULL; In ML-93  ; Editor: Paul E. Utgoff. ;NULL;NULL;NULL
1340; Huffman, S. B., & Laird, J. E. ; Learning procedures from interactive natural language instructions. ;NULL;NULL;NULL;1993;NULL;NULL;NULL; Machine Learning: Proceedings of the Tenth International Conference. ; In Utgoff,  P. (Ed.), ;NULL;NULL;NULL
1341; Huffman, S. B., & Laird, J. E. ; Learning procedures from interactive natural language instructions. ;NULL;NULL;NULL;1993;NULL;NULL;NULL; Machine Learning: Proceedings of the Tenth International Conference. ; In Utgoff,  P. (Ed.), ;NULL;NULL;NULL
1342; S. B. Huffman and J. E. Laird, ;" ""Learning procedures from interactive natural language instructions,"" in Machine Learning: ";NULL;NULL;NULL; 1993. ;NULL;NULL;NULL; Proceedings of the Tenth International Conference ;P. Utgoff, editor, ;NULL;NULL;NULL
1343; Scott B. Huffman and John E. Laird. ; Learning procedures from inter-active natural language instructions. ;NULL;NULL;NULL; 1993. ;NULL;NULL;NULL; Machine Learning: Proceedings of the Tenth International Conference ; In P. Utgoff, editor, ;NULL;NULL;NULL
1344; Scott B. Huffman and John E. Laird. ; Learning procedures from inter-active natural language instructions. ;NULL;NULL;NULL; 1993. ;NULL;NULL;NULL; Machine Learning: Proceedings of the Tenth International Conference ; In P. Utgoff, editor, ;NULL;NULL;NULL
1345; Scott B. Huffman and John E. Laird. ; Learning procedures from inter-active natural language instructions. ;NULL;NULL;NULL; 1993. ;NULL;NULL;NULL; Machine Learning: Proceedings of the Tenth International Conference ; In P. Utgoff, editor, ;NULL;NULL;NULL
1346; Scott B. Huffman and John E. Laird. ; Learning procedures from interactive natural language instructions. ;NULL;NULL;NULL; 1993. ;NULL;NULL;NULL; Machine Learning: Proceedings of the Tenth International Conference ; In P. Utgoff, editor, ;NULL;NULL;NULL
1347; David S. Johnson. ; The NP-completeness Column : An Outgoing Guide. ; Journal of Algorithms, ;-3;:381-395 ;1982;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1348; Jordan, M. I. & Jacobs, R. A. ; Supervised learning and divide-and-conquer: A statistical approach, ;NULL;NULL;NULL;1993; Morgan Kaufmann. ;NULL;NULL;" ""Proceedings of the Tenth International Conference on Machine Learning"" "; in P. Utgoff, ed., ;NULL;NULL;NULL
1349; M. Jordan and R. Jacobs. ; Supervised learning and divide-and-conquer: A statistical approach. ;NULL;NULL; pages 159-166 ; 1993. ; Morgan Kaufmann, ;NULL;NULL; Proceedings of the Tenth International Conference on Machine Learning ; In P. Utgoff, editor, ;NULL;NULL;NULL
1350; L. P. Kaelbling. ; Hierarchical learning in stochastic domains: Preliminary results. ;NULL;NULL; pages 167173 ;1993. ; Morgan Kaufmann. ; San Mateo, CA, ;NULL; Proceedings of the Tenth International Conference on Machine Learning ; In P. E. Utgoff, editor, ;NULL;NULL;NULL
1351; L. P. Kaelbling. ; Hierarchical learning in stochastic domains: Preliminary results. ;NULL;NULL; pages 167173 ;1993. ; Morgan Kaufmann. ; San Mateo, CA, ;NULL; Proceedings of the Tenth International Conference on Machine Learning ; In P. E. Utgoff, editor, ;NULL;NULL;NULL
1352; L. P. Kaelbling. ; Hierarchical learning in stochastic domains: Preliminary results. ;NULL;NULL; pages 167173 ; 1993. ; Morgan Kaufmann. ; San Mateo, CA,;NULL; Proceedings of the Tenth International Conference on Machine Learning ; In P. E. Utgoff, editor, ;NULL;NULL;NULL
1353; L. P. Kaelbling. ; Hierarchical learning in stochastic domains: Preliminary results. ;NULL;NULL;NULL;1993. ; Morgan Kaufmann. ;NULL;NULL; Proceedings of the Tenth International Conference on Machine Learning ; In Paul E. Utgoff, editor, ;NULL;NULL;NULL
1354; McCallum, R. A. ; Overcoming incomplete perception with utile distinction memory. ;NULL;NULL; pages 190-196 ;1993; Morgan Kaufmann. ;NULL;NULL; Machine Learning: Proceedings of the Tenth International Conference ;  In Utgoff, P. (Ed.), ;NULL;NULL;NULL
1355; McCallum, R. A. ; Overcoming incomplete perception with utile distinction memory. ;NULL;NULL; pages 190-196 ;1993; Morgan Kaufmann. ;NULL;NULL; Machine Learning: Proceedings of the Tenth International Conference ; In Utgoff, P. (Ed.), ;NULL;NULL;NULL
1356; McCallum, R. A. ; Overcoming incomplete perception with utile distinction memory. ;NULL;NULL; pages 190-196 ;1993; Morgan Kaufmann. ;NULL;NULL; Machine Learning: Proceedings of the Tenth International Conference ; In Utgoff, P. (Ed.), ;NULL;NULL;NULL
1357; R. Andrew McCallum. ; Overcoming incomplete perception with utile distinction memory. ;NULL;NULL; pages 190-196 ; 1993. ; Morgan Kaufmann. ; San Mateo, CA,;NULL; Proceedings of the Tenth International Conference on Machine Learning ; In Paul E. Utgoff, editor, ;NULL;NULL;NULL
1358; R.A. McCallum. ; Overcoming incomplete perception with utile distinction memory. ;NULL;NULL; pages 190-196 ; 1993. ; Morgan Kaufmann, ;NULL;NULL; Machine Learning: Proceedings of the Tenth International Conference ; In P. Utgoff, editor, ;NULL;NULL;NULL
1359; R.A. McCallum. ; Overcoming incomplete perception with utile distinction memory. ;NULL;NULL; pages 190-196 ; 1993. ; Morgan Kaufmann, ;NULL;NULL; Machine Learning: Proceedings of the Tenth International Conference ; In P. Utgoff, editor, ;NULL;NULL;NULL
1360; A. Mehra, Z. Wang, and K. Shin. ; Self-parameterizing protocol stacks for guaranteed quality of service. ;NULL;NULL;NULL;NULL;NULL;NULL; available at ftp://rtcl.eecs.umich.edu/outgoing/ashish/selfparam.ps, June 1998. ;NULL;NULL;NULL;NULL;NULL
1361; A. Mehra, Z. Wang, and K. Shin, ;" ""Self-parameterizing protocol stacks for guaranteed quality of service,"" ";NULL;NULL;NULL;NULL;NULL;NULL; available at ftp://rtcl.eecs.umich.edu/outgoing/ashish/selfparam.ps, June 1997. 27 ;NULL;NULL;NULL;NULL;NULL
1362; A. Mehra, Z. Wang, and K. Shin, ;" ""Self-parameterizing protocol stacks for guaranteed quality of service,"" ";NULL;NULL;NULL;NULL;NULL;NULL; available at ftp://rtcl.eecs.umich.edu/outgoing/ashish/selfparam.ps, June 1998. 29 ;NULL;NULL;NULL;NULL;NULL
1363; A. Mehra, Z. Wang, and K. Shin, ;" ""Self-parameterizing protocol stacks for guaranteed quality of service,"" ";NULL;NULL;NULL;NULL;NULL;NULL; available at ftp://rtcl.eecs.umich.edu/outgoing/ashish/selfparam.ps, June 1998. 27 ;NULL;NULL;NULL;NULL;NULL
1364; Minton, S., Drummond, M., Bresina, J. L., & Phillips, A. B. ; Total order vs. partial order planning: Factors influencing performance. ;NULL;NULL; pp83-92 ;1992;NULL; Cambridge,CA. ;NULL; In Proceedings of the Third International Conference on Principles of Knowledge Representation and Reasoning ;NULL;NULL;NULL;NULL
1365; Minton, S., Drummond, M., Bresina, J. L., & Phillips, A. B. ; Total order vs. partial order planning: Factors influencing performance. ;NULL;NULL; pp 83-92  ;1992;NULL; Cambridge,CA. ;NULL; In Proceedings of the Third International Conference on Principles of Knowledge Representation and Reasoning ;NULL;NULL;NULL;NULL
1366; T.M. Mitchell, P.E. Utgoff, B. Nudel, R.B. ; Banerji Learning problem-solving heuristics through practice. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL; In Proceedings of the Seventh International Joint Conference on AI 127-134 (1981) ;NULL;NULL;NULL;NULL
1367; Mitchell, T.M., P.E. Utgoff, and R. Banerji. ; Learning by Experimentation: Acquiring and Refining ProblemSolving Heuristics;NULL;NULL; 163-190 ; 1983. ; Tioga Publishing. ; Palo Alto, California: ;NULL;In Machine Learning: An Artificial Intelligence Approach; ed. R.S.  Michalski, J.G. Carbonell, and T.M. Mitchell, ;NULL;NULL;NULL
1368; Mitchell, T. M., Utgoff, P. E. & Banerji, R. B. ; Learning by experimentation: Acquiring and refining problem-solving heuristics. ;NULL;(Vol I) ;NULL;1983; Morgan Kaufmann, ; San Mateo, CA. ;NULL; Machine Learning: An Artificial Intelligence Approach ; In R.S.  Michalski, J.G. Carbonell, & T.M. Mitchell (Eds.), ;NULL;NULL;NULL
1369; Mitchell, T. M., Utgoff, P. E. & Banerji, R. B. ; Learning by experimentation: Acquiring and refining problem-solving heuristics. ;NULL; (Vol I) ;NULL;1983; Morgan Kaufmann, ; San Mateo, CA. ;NULL; Machine Learning: An Artificial Intelligence Approach; In R.S.  Michalski, J.G. Carbonell, & T.M. Mitchell (Eds.), ;NULL;NULL;NULL
1370; Mitchell, T. M., Utgoff, P., & Banerji, R. ; (1983) Learning by experimentation: Acquiring and refining problem-solving heuristics. ;NULL;NULL; (pp 163-190) ;NULL; M. Kaufmann. ; San Mateo, CA: ;NULL; Machine leaning: An artificial intelligence approach ; In R. Michalski, J. Carbonell, & T. Mitchell (Eds.), ;NULL;NULL;NULL
1371; Mitchell, T., Utgoff, P. & Banerji, R. ; Learning by experimentation: acquiring and refining problem-solving heuristics,;NULL;NULL;NULL;1983; Tioga Press. ; Palo Alto, California: ;NULL;" in ""Machine Learning An Artificial Intelligence Approach Volume I"" ";NULL;NULL;NULL;NULL
1372; Mitchell, T., Utgoff, P. & Banerji, R. ; Learning by experimentation: acquiring and refining problem-solving heuristics,;NULL;NULL;NULL;1983; Tioga Press. ; Palo Alto, California: ;NULL;" in ""Machine Learning An Artificial Intelligence Approach Volume I"" ";NULL;NULL;NULL;NULL
1373; Mitchell, T., Utgoff, P. & Banerji, R. ; Learning by experimentation: acquiring and refining problem-solving heuristics, ;NULL;" Volume I"" ";NULL;1983; Tioga Press. ; Palo Alto, California: ;NULL;"in ""Machine Learning An Artificial Intelligence Approach";NULL;NULL;NULL;NULL
1374; Mitchell, T., Utgoff, P. E., and Banerji, R. ; Learning by Experimentation: Acquiring and refining problem-solving heuristics. ;NULL;NULL; pp 163-189 ;1983; Morgan Kaufmann, Inc., ; Los Altos, CA, ;NULL; Machine Learning: An artificial intelligence approach. ; In R. S. Michalski, J. G. Carbonell and T. M. Mitchell (eds.) ;NULL;NULL;NULL
1375; Mitchell, T., Utgoff, P. E., and Banerji, R. ; Learning by Experimentation: Acquiring and refining problem-solving heuristics. ;NULL;NULL; pp 163-189 ;1983; Morgan Kaufmann, Inc., ; Los Altos, CA, ;NULL; Machine Learning: An artificial intelligence approach. ; In R. S. Michalski, J. G. Carbonell and T. M. Mitchell (eds.) ;NULL;NULL;NULL
1376; Mitchell, T., Utgoff, P., & Banerji, R. ; Learning by experimentation: Acquiring and refining problem solving heuristics. ; Machine Learning, ;NULL; pp 163-190 ;1983; Tioga, ; Palo Alto, CA. ;NULL;NULL; In Michalski, R., Carbonell, J., & Mitchell, T. (Eds.), ;NULL;NULL;NULL
1377; Mitchell, T., Utgoff, P., & Banerji, R. ; Learning by experimentation: Acquiring and refining problem solving heuristics. ; Machine Learning, ;NULL; pp 163-190 ;1983; Tioga, ; Palo Alto, CA. ;NULL;NULL; In Michalski, R., Carbonell, J., & Mitchell, T. (Eds.), ;NULL;NULL;NULL
1378; Mitchell, T., Utgoff, P., & Banerji, R. ; Learning by experimentation: Acquiring and refining problem solving heuristics. ; Machine Learning, ;NULL; pp 163-190 ;1983; Tioga, ; Palo Alto, CA. ;NULL;NULL; In Michalski, R., Carbonell, J., & Mitchell, T. (Eds.), ;NULL;NULL;NULL
1510; Utgoff, P. E. ;NULL;NULL;32;NULL; 1986. ; Kluwer Academic Publishers, ;NULL;NULL; Machine Learning of Inductive Bias. ;NULL;NULL;NULL;NULL
1511; Utgoff, P. E. ;NULL;NULL;32;NULL; 1986. ; Kluwer Academic Publishers, ;NULL;NULL; Machine Learning of Inductive Bias. ;NULL;NULL;NULL;NULL
1512; P. Utgoff. ;NULL;NULL;NULL;NULL; 1986. ; Kluwer Academic Publishers, ; Boston, MA, ;NULL; Machine Learning of Inductive Bias. ;NULL;NULL;NULL;NULL
1513; Utgoff, P. ;NULL;NULL; Vol15 ;6;1986; Kluwer Academic. ;NULL; Kluwer International Series in Engineering and Computer Science, ; Machine Learning of Inductive Bias. ;NULL;NULL;NULL;NULL
